dataset,model,seed,degree,risk,score,is_member
Cora,GCN,42,9,0.0636264979839325,0.9986244440078735,0
Cora,GCN,42,6,0.1298278421163559,0.9895211458206177,0
Cora,GCN,42,3,0.534201979637146,0.818392813205719,1
Cora,GCN,42,2,0.7133550643920898,0.003689889097586274,0
Cora,GCN,42,2,0.2833876311779022,0.3112749457359314,0
Cora,GCN,42,3,0.319218248128891,0.9989392161369324,1
Cora,GCN,42,2,0.2833876311779022,0.9722104668617249,0
Cora,GCN,42,5,0.08273614943027496,0.9779174327850342,1
Cora,GCN,42,3,0.24755699932575226,0.05438820272684097,0
Cora,GCN,42,3,0.1758957952260971,0.9705223441123962,1
Cora,GCN,42,36,0.4234013855457306,0.540147066116333,0
Cora,GCN,42,10,0.17915309965610504,0.9999613761901855,0
Cora,GCN,42,4,0.11856676638126373,0.9960458874702454,0
Cora,GCN,42,2,0.2833876311779022,0.9925194978713989,0
Cora,GCN,42,4,0.22605863213539124,0.9326034784317017,1
Cora,GCN,42,11,0.0,0.8907321691513062,0
Cora,GCN,42,21,0.14937178790569305,0.9999961853027344,0
Cora,GCN,42,1,0.35504886507987976,0.9829806089401245,1
Cora,GCN,42,1,0.57003253698349,0.9965631365776062,0
Cora,GCN,42,6,0.20148907601833344,0.9987649917602539,1
Cora,GCN,42,2,0.2833876311779022,0.9978623986244202,1
Cora,GCN,42,8,0.47192487120628357,0.9746645092964172,1
Cora,GCN,42,6,0.058166585862636566,0.9942724704742432,0
Cora,GCN,42,4,0.22605863213539124,0.9831799268722534,1
Cora,GCN,42,4,0.22605863213539124,0.9994556307792664,1
Cora,GCN,42,1,0.57003253698349,0.9998286962509155,0
Cora,GCN,42,3,0.319218248128891,0.9827803373336792,0
Cora,GCN,42,32,0.19698695838451385,0.9999767541885376,1
Cora,GCN,42,5,0.16872964799404144,0.9992591738700867,0
Cora,GCN,42,6,0.058166585862636566,0.9998757839202881,1
Cora,GCN,42,4,0.33355045318603516,0.9902490973472595,0
Cora,GCN,42,3,0.319218248128891,0.9872547388076782,0
Cora,GCN,42,1,0.35504886507987976,0.818985104560852,1
Cora,GCN,42,2,0.2833876311779022,0.7401321530342102,0
Cora,GCN,42,2,0.49837133288383484,0.9946809411048889,0
Cora,GCN,42,19,0.4368935227394104,0.801030695438385,1
Cora,GCN,42,6,0.20148907601833344,0.9999730587005615,0
Cora,GCN,42,5,0.3980455994606018,0.6955495476722717,1
Cora,GCN,42,7,0.3166589140892029,0.9957463145256042,1
Cora,GCN,42,4,0.22605863213539124,0.9894378185272217,0
Cora,GCN,42,4,0.33355045318603516,0.9973661303520203,1
Cora,GCN,42,5,0.2547231614589691,0.9835050702095032,1
Cora,GCN,42,2,0.2833876311779022,0.9975525736808777,0
Cora,GCN,42,6,0.20148907601833344,0.9360416531562805,0
Cora,GCN,42,1,0.57003253698349,0.9937402009963989,0
Cora,GCN,42,4,0.11856676638126373,0.9998632669448853,1
Cora,GCN,42,2,0.2833876311779022,0.9942163228988647,0
Cora,GCN,42,3,0.24755699932575226,0.18609751760959625,0
Cora,GCN,42,2,0.2833876311779022,0.9888876080513,0
Cora,GCN,42,9,0.20694899559020996,0.9988071918487549,0
Cora,GCN,42,1,0.57003253698349,0.9981151819229126,1
Cora,GCN,42,3,0.24755699932575226,0.9986408352851868,1
Cora,GCN,42,4,0.11856676638126373,0.9995434880256653,0
Cora,GCN,42,3,0.319218248128891,0.8078242540359497,0
Cora,GCN,42,8,0.24158523976802826,0.9997124075889587,0
Cora,GCN,42,2,0.2833876311779022,0.9949353337287903,0
Cora,GCN,42,3,0.24755699932575226,0.9630913138389587,1
Cora,GCN,42,5,0.2547231614589691,0.9986482262611389,0
Cora,GCN,42,3,0.4625406861305237,0.994413435459137,0
Cora,GCN,42,4,0.11856676638126373,0.9912382960319519,0
Cora,GCN,42,5,0.3980455994606018,0.9606638550758362,0
Cora,GCN,42,4,0.44104233384132385,0.8527107834815979,1
Cora,GCN,42,4,0.22605863213539124,0.9506288766860962,1
Cora,GCN,42,4,0.11856676638126373,0.9963464140892029,1
Cora,GCN,42,6,0.27315032482147217,0.9882758259773254,0
Cora,GCN,42,12,0.10147833824157715,0.9997548460960388,0
Cora,GCN,42,6,0.20148907601833344,0.9984917640686035,0
Cora,GCN,42,4,0.33355045318603516,0.995087206363678,1
Cora,GCN,42,4,0.11856676638126373,0.9980400204658508,1
Cora,GCN,42,7,0.040251269936561584,0.9914392232894897,0
Cora,GCN,42,2,0.2833876311779022,0.9566088318824768,0
Cora,GCN,42,5,0.5413681268692017,0.6682005524635315,1
Cora,GCN,42,1,0.35504886507987976,0.9994250535964966,1
Cora,GCN,42,4,0.33355045318603516,0.9982642531394958,0
Cora,GCN,42,2,0.2833876311779022,0.9765991568565369,1
Cora,GCN,42,3,0.24755699932575226,0.9903524518013,1
Cora,GCN,42,2,0.2833876311779022,0.995876669883728,1
Cora,GCN,42,3,0.1758957952260971,0.9607827067375183,0
Cora,GCN,42,5,0.16872964799404144,0.995893120765686,0
Cora,GCN,42,4,0.22605863213539124,0.9902865886688232,1
Cora,GCN,42,4,0.22605863213539124,0.9996073842048645,1
Cora,GCN,42,7,0.040251269936561584,0.981240451335907,1
Cora,GCN,42,4,0.22605863213539124,0.9996776580810547,1
Cora,GCN,42,1,0.35504886507987976,0.9992656111717224,1
Cora,GCN,42,3,0.1758957952260971,0.9920462369918823,1
Cora,GCN,42,10,0.136156365275383,0.9998928308486938,0
Cora,GCN,42,3,0.1758957952260971,0.9913580417633057,1
Cora,GCN,42,1,0.35504886507987976,0.9794323444366455,1
Cora,GCN,42,2,0.2833876311779022,0.9872522354125977,1
Cora,GCN,42,6,0.058166585862636566,0.9971286654472351,0
Cora,GCN,42,2,0.2833876311779022,0.979971706867218,1
Cora,GCN,42,4,0.22605863213539124,0.990172266960144,0
Cora,GCN,42,2,0.2833876311779022,0.993035614490509,0
Cora,GCN,42,1,1.0,0.9282902479171753,1
Cora,GCN,42,2,0.2833876311779022,0.9976866245269775,0
Cora,GCN,42,5,0.2547231614589691,0.9986193180084229,1
Cora,GCN,42,2,0.2833876311779022,0.9104010462760925,0
Cora,GCN,42,3,0.1758957952260971,0.9871675372123718,1
Cora,GCN,42,3,0.319218248128891,0.996033251285553,0
Cora,GCN,42,1,0.57003253698349,0.9994513392448425,1
Cora,GCN,42,2,0.7133550643920898,0.969126284122467,1
Cora,GCN,42,2,0.2833876311779022,0.9917508959770203,0
Cora,GCN,42,7,0.22452305257320404,0.9999101161956787,0
Cora,GCN,42,4,0.11856676638126373,0.9662980437278748,0
Cora,GCN,42,5,0.38371336460113525,0.9559752345085144,1
Cora,GCN,42,1,0.57003253698349,0.8308407068252563,0
Cora,GCN,42,2,0.49837133288383484,0.9102615118026733,1
Cora,GCN,42,2,0.49837133288383484,0.9996720552444458,0
Cora,GCN,42,1,0.35504886507987976,0.9971987009048462,1
Cora,GCN,42,1,0.35504886507987976,0.9462783336639404,1
Cora,GCN,42,10,0.23648208379745483,0.7575938105583191,1
Cora,GCN,42,5,0.2117263823747635,0.8839353322982788,1
Cora,GCN,42,1,0.57003253698349,0.9981028437614441,1
Cora,GCN,42,4,0.11856676638126373,0.9912382960319519,0
Cora,GCN,42,3,0.534201979637146,0.889607310295105,0
Cora,GCN,42,2,0.2833876311779022,0.9944837689399719,0
Cora,GCN,42,3,0.1758957952260971,0.9875074028968811,0
Cora,GCN,42,11,0.24234527349472046,0.9997187256813049,1
Cora,GCN,42,3,0.319218248128891,0.9952313303947449,1
Cora,GCN,42,3,0.6058632135391235,0.9835157990455627,1
Cora,GCN,42,1,0.57003253698349,0.9665920734405518,1
Cora,GCN,42,1,0.57003253698349,0.9587820768356323,1
Cora,GCN,42,3,0.1758957952260971,0.9725243449211121,0
Cora,GCN,42,2,0.2833876311779022,0.01808306574821472,0
Cora,GCN,42,1,0.35504886507987976,0.010113474912941456,0
Cora,GCN,42,1,0.57003253698349,0.9278855919837952,1
Cora,GCN,42,2,0.2833876311779022,0.9990654587745667,0
Cora,GCN,42,5,0.38371336460113525,0.9988018274307251,0
Cora,GCN,42,4,0.33355045318603516,0.9950829744338989,1
Cora,GCN,42,5,0.2117263823747635,0.999195396900177,1
Cora,GCN,42,9,0.11140066385269165,0.9989979863166809,1
Cora,GCN,42,5,0.2547231614589691,0.9996140599250793,0
Cora,GCN,42,1,0.57003253698349,0.9987938404083252,1
Cora,GCN,42,2,0.7133550643920898,0.9783301949501038,0
Cora,GCN,42,1,0.57003253698349,0.9499821066856384,0
Cora,GCN,42,1,0.35504886507987976,0.9985009431838989,1
Cora,GCN,42,1,0.57003253698349,0.9978598952293396,0
Cora,GCN,42,13,0.19558292627334595,0.9974222183227539,1
Cora,GCN,42,5,0.16872964799404144,0.9948062300682068,1
Cora,GCN,42,1,0.35504886507987976,0.8701567649841309,0
Cora,GCN,42,4,0.22605863213539124,0.958342432975769,0
Cora,GCN,42,2,0.2833876311779022,0.9940610527992249,0
Cora,GCN,42,4,0.22605863213539124,0.9994251728057861,1
Cora,GCN,42,1,0.35504886507987976,0.9988422989845276,1
Cora,GCN,42,3,0.319218248128891,0.9603357911109924,0
Cora,GCN,42,3,0.319218248128891,0.9950946569442749,0
Cora,GCN,42,7,0.22452305257320404,0.9998433589935303,1
Cora,GCN,42,4,0.44104233384132385,0.6779573559761047,1
Cora,GCN,42,3,0.4625406861305237,0.9977954626083374,0
Cora,GCN,42,2,0.49837133288383484,0.9799317717552185,1
Cora,GCN,42,4,0.44104233384132385,0.19967010617256165,0
Cora,GCN,42,1,0.57003253698349,0.9964461922645569,1
Cora,GCN,42,4,0.33355045318603516,0.9995424747467041,1
Cora,GCN,42,7,0.040251269936561584,0.9998039603233337,0
Cora,GCN,42,2,0.2833876311779022,0.9946809411048889,1
Cora,GCN,42,1,0.57003253698349,0.9154199361801147,0
Cora,GCN,42,4,0.47687292098999023,0.856877326965332,1
Cora,GCN,42,2,0.2833876311779022,0.9615088701248169,0
Cora,GCN,42,3,0.24755699932575226,0.9918758869171143,1
Cora,GCN,42,4,0.33355045318603516,0.9896573424339294,0
Cora,GCN,42,4,0.6201953887939453,0.8649433255195618,1
Cora,GCN,42,3,0.319218248128891,0.9948136806488037,0
Cora,GCN,42,2,0.2833876311779022,0.9647698402404785,0
Cora,GCN,42,5,0.16872964799404144,0.9999457597732544,0
Cora,GCN,42,5,0.16872964799404144,0.9915786981582642,1
Cora,GCN,42,1,0.35504886507987976,0.9896106719970703,1
Cora,GCN,42,2,0.2833876311779022,0.999450147151947,1
Cora,GCN,42,2,0.2833876311779022,0.9846599698066711,1
Cora,GCN,42,3,0.6058632135391235,0.8515669703483582,0
Cora,GCN,42,1,0.57003253698349,0.9780920147895813,1
Cora,GCN,42,12,0.39324191212654114,0.9682641625404358,1
Cora,GCN,42,2,0.2833876311779022,0.7339886426925659,0
Cora,GCN,42,8,0.13409337401390076,0.9999856948852539,1
Cora,GCN,42,2,0.2833876311779022,0.9984506368637085,1
Cora,GCN,42,2,0.2833876311779022,0.9969068169593811,1
Cora,GCN,42,7,0.16309912502765656,0.9873630404472351,0
Cora,GCN,42,3,0.24755699932575226,0.9855996370315552,1
Cora,GCN,42,1,0.35504886507987976,0.9758424162864685,1
Cora,GCN,42,1,0.57003253698349,0.9900104403495789,0
Cora,GCN,42,3,0.6058632135391235,0.8948785662651062,1
Cora,GCN,42,5,0.16872964799404144,0.9957789182662964,1
Cora,GCN,42,1,0.35504886507987976,0.9959864020347595,1
Cora,GCN,42,1,0.35504886507987976,0.23056349158287048,0
Cora,GCN,42,2,0.2833876311779022,0.9963582158088684,0
Cora,GCN,42,2,0.2833876311779022,0.9905311465263367,1
Cora,GCN,42,5,0.16872964799404144,0.9995819926261902,1
Cora,GCN,42,3,0.1758957952260971,0.9998530149459839,1
Cora,GCN,42,5,0.08273614943027496,0.9496679902076721,1
Cora,GCN,42,3,0.6058632135391235,0.9346685409545898,1
Cora,GCN,42,2,0.2833876311779022,0.9891996383666992,0
Cora,GCN,42,5,0.3407166004180908,0.9979324340820312,0
Cora,GCN,42,3,0.1758957952260971,0.9826797246932983,1
Cora,GCN,42,4,0.44104233384132385,0.8518076539039612,1
Cora,GCN,42,78,0.13999536633491516,0.9999978542327881,1
Cora,GCN,42,1,0.35504886507987976,0.9895311594009399,1
Cora,GCN,42,5,0.3407166004180908,0.9991594552993774,1
Cora,GCN,42,3,0.605863094329834,0.8036190271377563,1
Cora,GCN,42,4,0.33355045318603516,0.9999954700469971,1
Cora,GCN,42,1,0.35504886507987976,0.9991528987884521,1
Cora,GCN,42,2,0.7133550643920898,0.38878950476646423,0
Cora,GCN,42,5,0.4267100393772125,0.9999545812606812,1
Cora,GCN,42,10,0.136156365275383,0.9998182654380798,1
Cora,GCN,42,2,0.2833876311779022,0.10521619021892548,0
Cora,GCN,42,4,0.47687292098999023,0.9479047060012817,1
Cora,GCN,42,1,0.35504886507987976,0.11763239651918411,0
Cora,GCN,42,2,0.2833876311779022,0.9317492246627808,0
Cora,GCN,42,3,0.534201979637146,0.8855471014976501,1
Cora,GCN,42,1,0.35504886507987976,0.9937159419059753,1
Cora,GCN,42,5,0.7706840634346008,0.05985375866293907,0
Cora,GCN,42,3,0.1758957952260971,0.9841330051422119,1
Cora,GCN,42,2,0.2833876311779022,0.5555945634841919,0
Cora,GCN,42,3,0.1758957952260971,0.9868046045303345,0
Cora,GCN,42,3,0.534201979637146,0.8714828491210938,0
Cora,GCN,42,2,0.2833876311779022,0.9206181168556213,1
Cora,GCN,42,5,0.5127035975456238,0.7425458431243896,1
Cora,GCN,42,2,0.2833876311779022,0.9895841479301453,0
Cora,GCN,42,2,0.2833876311779022,0.970156192779541,0
Cora,GCN,42,2,0.2833876311779022,0.9937118291854858,0
Cora,GCN,42,4,0.5485342144966125,0.7949131727218628,0
Cora,GCN,42,2,0.2833876311779022,0.9825257062911987,1
Cora,GCN,42,2,0.2833876311779022,0.9258854389190674,1
Cora,GCN,42,2,0.49837133288383484,0.9997177720069885,1
Cora,GCN,42,5,0.2117263823747635,0.9858055710792542,1
Cora,GCN,42,1,0.35504886507987976,0.9996589422225952,0
Cora,GCN,42,4,0.22605863213539124,0.9998518228530884,1
Cora,GCN,42,3,0.24755699932575226,0.9233721494674683,0
Cora,GCN,42,14,0.10730573534965515,0.9996551275253296,1
Cora,GCN,42,1,0.35504886507987976,0.9239941239356995,1
Cora,GCN,42,4,0.22605863213539124,0.9690728783607483,1
Cora,GCN,42,3,0.319218248128891,0.9973630309104919,1
Cora,GCN,42,1,0.35504886507987976,0.7769306302070618,0
Cora,GCN,42,5,0.6631922125816345,0.011170833371579647,0
Cora,GCN,42,4,0.11856676638126373,0.995701014995575,0
Cora,GCN,42,1,0.35504886507987976,0.999046266078949,1
Cora,GCN,42,3,0.6058632135391235,0.2838141918182373,0
Cora,GCN,42,2,0.2833876311779022,0.9885537624359131,1
Cora,GCN,42,1,0.57003253698349,0.9884570240974426,1
Cora,GCN,42,1,0.35504886507987976,0.9824572205543518,0
Cora,GCN,42,11,0.15635178983211517,0.9999873638153076,0
Cora,GCN,42,2,0.2833876311779022,0.9349087476730347,1
Cora,GCN,42,4,0.22605863213539124,0.9520969390869141,1
Cora,GCN,42,2,0.49837133288383484,0.9604426622390747,1
Cora,GCN,42,7,0.10167519748210907,0.9999440908432007,1
Cora,GCN,42,2,0.7133550643920898,0.40149253606796265,0
Cora,GCN,42,5,0.08273614943027496,0.9998818635940552,0
Cora,GCN,42,4,0.47687292098999023,0.9858341813087463,0
Cora,GCN,42,3,0.1758957952260971,0.9941239953041077,0
Cora,GCN,42,7,0.10167519748210907,0.9999891519546509,1
Cora,GCN,42,4,0.22605863213539124,0.994077205657959,0
Cora,GCN,42,4,0.44104233384132385,0.7161579728126526,1
Cora,GCN,42,2,0.2833876311779022,0.9938348531723022,0
Cora,GCN,42,6,0.058166585862636566,0.9999639987945557,0
Cora,GCN,42,3,0.1758957952260971,0.9988459348678589,1
Cora,GCN,42,3,0.24755699932575226,0.7578014731407166,1
Cora,GCN,42,4,0.6201953887939453,0.7101913690567017,1
Cora,GCN,42,2,0.2833876311779022,0.9875195026397705,0
Cora,GCN,42,3,0.319218248128891,0.9615379571914673,1
Cora,GCN,42,3,0.534201979637146,0.9736401438713074,1
Cora,GCN,42,3,0.6058632135391235,0.9257298111915588,0
Cora,GCN,42,8,0.2953311800956726,0.5779064297676086,0
Cora,GCN,42,1,0.35504886507987976,0.8970630764961243,0
Cora,GCN,42,4,0.22605863213539124,0.7800140976905823,0
Cora,GCN,42,6,0.058166585862636566,0.9996334314346313,0
Cora,GCN,42,1,0.35504886507987976,0.9754752516746521,1
Cora,GCN,42,5,0.08273614943027496,0.9945397973060608,1
Cora,GCN,42,3,0.1758957952260971,0.9855497479438782,0
Cora,GCN,42,2,0.2833876311779022,0.998903751373291,0
Cora,GCN,42,4,0.11856676638126373,0.9594296216964722,0
Cora,GCN,42,5,0.3980455994606018,0.9891247749328613,0
Cora,GCN,42,1,0.35504886507987976,0.9917839765548706,0
Cora,GCN,42,6,0.5597952604293823,0.047637298703193665,0
Cora,GCN,42,7,0.16309912502765656,0.9998041987419128,1
Cora,GCN,42,7,0.28594696521759033,0.999974250793457,0
Cora,GCN,42,2,0.2833876311779022,0.9835088849067688,0
Cora,GCN,42,4,0.22605863213539124,0.9998016953468323,1
Cora,GCN,42,4,0.47687292098999023,0.5832479000091553,1
Cora,GCN,42,6,0.1298278421163559,0.9998956918716431,1
Cora,GCN,42,4,0.6560260653495789,0.8017250299453735,1
Cora,GCN,42,2,0.49837133288383484,0.9999678134918213,1
Cora,GCN,42,4,0.11856676638126373,0.9996896982192993,1
Cora,GCN,42,3,0.319218248128891,0.9819206595420837,0
Cora,GCN,42,1,0.35504886507987976,0.9102276563644409,1
Cora,GCN,42,21,0.33364352583885193,0.9864363074302673,1
Cora,GCN,42,2,0.7133550643920898,0.8605813384056091,1
Cora,GCN,42,5,0.3980455994606018,0.7393215298652649,0
Cora,GCN,42,1,0.35504886507987976,0.9965268969535828,0
Cora,GCN,42,1,0.35504886507987976,0.9064429998397827,0
Cora,GCN,42,2,0.7133550643920898,0.969126284122467,1
Cora,GCN,42,2,0.2833876311779022,0.9939101934432983,0
Cora,GCN,42,1,0.35504886507987976,0.9897245168685913,1
Cora,GCN,42,5,0.2547231614589691,0.9999785423278809,1
Cora,GCN,42,2,0.7133550643920898,0.45120954513549805,0
Cora,GCN,42,8,0.24158523976802826,0.998765230178833,1
Cora,GCN,42,2,0.2833876311779022,0.9833330512046814,1
Cora,GCN,42,16,0.32659509778022766,0.9018548130989075,1
Cora,GCN,42,1,0.35504886507987976,0.9589208364486694,1
Cora,GCN,42,2,0.2833876311779022,0.9828556180000305,1
Cora,GCN,42,2,0.49837133288383484,0.9857403635978699,1
Cora,GCN,42,5,0.08273614943027496,0.995318591594696,0
Cora,GCN,42,3,0.7491856813430786,0.5053907632827759,1
Cora,GCN,42,18,0.4220404028892517,0.5711358189582825,1
Cora,GCN,42,5,0.5986970663070679,0.050370123237371445,0
Cora,GCN,42,6,0.7031177878379822,0.3836800456047058,1
Cora,GCN,42,2,0.2833876311779022,0.9984122514724731,1
Cora,GCN,42,6,0.20148907601833344,0.9231270551681519,1
Cora,GCN,42,4,0.22605863213539124,0.9962859153747559,1
Cora,GCN,42,8,0.080347441136837,0.9993628859519958,1
Cora,GCN,42,2,0.2833876311779022,0.9999028444290161,1
Cora,GCN,42,3,0.7491856813430786,0.5144258737564087,0
Cora,GCN,42,4,0.33355045318603516,0.9918081164360046,0
Cora,GCN,42,4,0.44104233384132385,0.9439499974250793,1
Cora,GCN,42,2,0.49837133288383484,0.9958890080451965,1
Cora,GCN,42,4,0.22605863213539124,0.9924174547195435,0
Cora,GCN,42,3,0.319218248128891,0.999602735042572,0
Cora,GCN,42,10,0.09315962344408035,0.9966089725494385,1
Cora,GCN,42,4,0.22605863213539124,0.9978377223014832,1
Cora,GCN,42,4,0.47687292098999023,0.9515875577926636,0
Cora,GCN,42,3,0.6058632135391235,0.8101161122322083,1
Cora,GCN,42,2,0.2833876311779022,0.8435223698616028,1
Cora,GCN,42,1,0.57003253698349,0.9988831877708435,1
Cora,GCN,42,4,0.11856676638126373,0.9956232905387878,1
Cora,GCN,42,4,0.22605863213539124,0.9982563853263855,1
Cora,GCN,42,5,0.2547231614589691,0.9982433319091797,0
Cora,GCN,42,3,0.6058632135391235,0.6798043847084045,0
Cora,GCN,42,3,0.319218248128891,0.9880145192146301,0
Cora,GCN,42,5,0.16872964799404144,0.9950599074363708,0
Cora,GCN,42,3,0.24755699932575226,0.8890002369880676,1
Cora,GCN,42,8,0.026601513847708702,0.9991911053657532,1
Cora,GCN,42,4,0.44104233384132385,0.42693808674812317,0
Cora,GCN,42,1,0.35504886507987976,0.1760963648557663,0
Cora,GCN,42,1,0.35504886507987976,0.989582896232605,0
Cora,GCN,42,3,0.1758957952260971,0.9355269074440002,0
Cora,GCN,42,3,0.8925081491470337,0.2537086606025696,1
Cora,GCN,42,2,0.2833876311779022,0.9943315982818604,1
Cora,GCN,42,6,0.34481149911880493,0.7342144250869751,1
Cora,GCN,42,9,0.29294246435165405,0.998810887336731,1
Cora,GCN,42,7,0.1938110738992691,0.9982536435127258,0
Cora,GCN,42,4,0.11856676638126373,0.9989816546440125,1
Cora,GCN,42,4,0.44104233384132385,0.8841332793235779,1
Cora,GCN,42,12,0.27039411664009094,0.9990378618240356,0
Cora,GCN,42,2,0.2833876311779022,0.9650247693061829,0
Cora,GCN,42,3,0.1758957952260971,0.9808951020240784,1
Cora,GCN,42,1,0.35504886507987976,0.9944214224815369,1
Cora,GCN,42,7,0.040251269936561584,0.9996925592422485,0
Cora,GCN,42,1,0.57003253698349,0.9487876296043396,1
Cora,GCN,42,3,0.1758957952260971,0.9633973240852356,1
Cora,GCN,42,3,0.6058632135391235,0.13976125419139862,0
Cora,GCN,42,1,0.35504886507987976,0.9883694648742676,1
Cora,GCN,42,6,0.4881339967250824,0.5865350365638733,1
Cora,GCN,42,2,0.2833876311779022,0.9966272115707397,0
Cora,GCN,42,1,0.57003253698349,0.9995318651199341,1
Cora,GCN,42,3,0.534201979637146,0.048422399908304214,0
Cora,GCN,42,3,0.6058632135391235,0.9307781457901001,0
Cora,GCN,42,3,0.1758957952260971,0.9264466762542725,0
Cora,GCN,42,4,0.5485342144966125,0.5952807068824768,1
Cora,GCN,42,18,0.1626950055360794,0.9999943971633911,1
Cora,GCN,42,1,0.57003253698349,0.9983899593353271,1
Cora,GCN,42,3,0.1758957952260971,0.998775064945221,1
Cora,GCN,42,3,0.24755699932575226,0.8742377161979675,0
Cora,GCN,42,2,0.2833876311779022,0.9944012761116028,1
Cora,GCN,42,5,0.2547231614589691,0.9948062300682068,0
Cora,GCN,42,5,0.3980455994606018,0.9770837426185608,1
Cora,GCN,42,6,0.20148907601833344,0.9985999464988708,0
Cora,GCN,42,2,0.7133550643920898,0.01138133741915226,0
Cora,GCN,42,2,0.7133550643920898,0.005171299446374178,0
Cora,GCN,42,4,0.6560260653495789,0.6631802916526794,1
Cora,GCN,42,12,0.4546658396720886,0.7968498468399048,1
Cora,GCN,42,1,0.57003253698349,0.9848794341087341,1
Cora,GCN,42,1,0.35504886507987976,0.7271298170089722,1
Cora,GCN,42,3,0.605863094329834,0.9027553200721741,0
Cora,GCN,42,5,0.3980455994606018,0.9866489768028259,0
Cora,GCN,42,15,0.29592832922935486,0.9999954700469971,0
Cora,GCN,42,4,0.33355045318603516,0.999049961566925,1
Cora,GCN,42,2,0.2833876311779022,0.9997580647468567,1
Cora,GCN,42,1,0.35504886507987976,0.9943013191223145,1
Cora,GCN,42,3,0.319218248128891,0.9992741942405701,1
Cora,GCN,42,3,0.6058632135391235,0.8137617111206055,1
Cora,GCN,42,2,0.2833876311779022,0.01129060797393322,0
Cora,GCN,42,2,0.2833876311779022,0.9994032382965088,1
Cora,GCN,42,2,0.49837133288383484,0.9934965372085571,0
Cora,GCN,42,2,0.2833876311779022,0.9798874855041504,1
